parroquia,z_ebp,ee,cv
10150,886.96,7.446651504352242,0.008395701614900606
10151,594.66,39.75639042203885,0.06685566613197264
10152,510.02,50.98998544799916,0.09997644297870507
10153,485.25,85.7489312442189,0.1767108320334238
10154,502.98,81.42453932492478,0.161884248528619
10155,574.54,102.8079383307455,0.178939566141166
10156,543.24,54.32557441823132,0.10000289820011656
10157,395.56,75.78478684869182,0.19158860058825924
10158,685.26,66.57643179318913,0.09715499488251048
10159,416.53,73.71357046613979,0.17697061548061313
10160,662.89,80.0394109068318,0.12074312617000077
10161,342.23,36.414899874993495,0.10640475666947226
10162,759.76,27.91693226403451,0.036744409108184835
10163,731.87,58.541728308543064,0.07998924441300102
10164,384.77,57.44245846510688,0.1492903772776123
10165,580.13,68.23592368117023,0.11762178077529215
10166,401.14,52.77246291729554,0.13155622206036682
10167,590.51,37.177045759668815,0.0629575210575076
10168,480.03,37.7955161932987,0.07873573775242944
10169,543.74,45.45495009433459,0.08359684793161179
10170,608.52,27.64142556173978,0.04542402149763324
10171,486.84,34.41755817338001,0.07069583060837238
10250,553.09,38.51404604695599,0.06963431999666599
10251,439.23,73.68858838270512,0.1677676579074861
10252,391.85,69.3298591009665,0.17692958811016077
10350,571.41,22.021400388317787,0.03853870318740972
10352,379.12,75.23481225464622,0.19844590698102504
10353,446.32,72.93112694304683,0.16340546456140626
10354,399.57,55.140860849984676,0.13800050266532693
10356,428.81,62.53950717415538,0.1458443300626277
10357,350.17,38.54949731208178,0.11008794960185561
10358,516.61,67.41557889854572,0.13049607808316857
10359,490.7,89.68031297366869,0.18275996122614366
10360,394.9,70.69025487720911,0.17900798905345433
10450,489.23,84.56012904852263,0.17284330284022367
10451,395.13,52.79410925823343,0.13361199923628536
10452,398.35,77.44032828195274,0.19440273197427574
10453,433.36,73.61009909346197,0.16985900658450703
10550,542.37,33.37529964663991,0.06153603563368164
10552,325.37,51.472957474031894,0.1581982280911943
10553,441.02,73.24864140207164,0.16608916013348973
10554,533.85,57.4133567186541,0.10754585879676706
10556,461.79,101.1625921913465,0.21906622532178371
10559,502.31,90.67613541844571,0.18051827639992377
10561,379.78,66.724893631442,0.17569354266007164
10562,300.15,30.92543860862571,0.10303327872272434
10650,434.71,36.924466384473,0.0849404577407306
10652,446.06,76.61093660786032,0.17175029504519643
10750,465.12,84.07846709869206,0.18076725812412292
10751,396.37,76.06379841336266,0.19190099758650417
10850,658.12,44.44903593127578,0.06753940912185587
10851,499.08,90.78589634758198,0.1819065006563717
10852,421.84,76.51456656437567,0.1813829095495346
10853,336.11,60.94779898221696,0.18133289394012958
10854,328.83,54.44858417327931,0.1655827758211821
10950,536.46,36.19290202287835,0.06746617086619384
10951,416.51,71.63173592445085,0.17198083101114223
10952,434.53,52.23691935367249,0.1202147592885934
10953,365.21,65.82340681918159,0.18023440436784752
10954,328.79,57.13344309952703,0.1737687980155328
10955,414.0,74.68433466258992,0.18039694362944425
10956,383.99,30.448129703875903,0.07929406938690045
11050,516.12,95.68820332498225,0.1853991384270756
11051,477.9,90.999131286282,0.19041458733266792
11150,522.69,87.8822588061812,0.168134570789916
11151,356.84,62.84926798239866,0.17612730630646414
11152,299.78,38.029166351814325,0.12685691624462717
11153,282.36,52.60268928929486,0.18629653381957378
11154,331.8,58.50756053552779,0.17633381716554486
11250,560.22,82.25895239882907,0.14683330191501387
11253,385.78,67.51115393898374,0.17499910295760213
11350,527.87,64.61905514401394,0.12241471412282179
11351,524.68,78.44215728509245,0.14950475963462007
11352,473.57,84.91778652532625,0.17931411729063548
11450,404.41,65.23867711663925,0.16131816007675193
11550,583.18,21.504644144941736,0.03687479705226815
20150,688.45,24.182586196503273,0.035126132902176296
20151,399.54,63.25742866581391,0.15832564615761602
20153,353.32,36.65115496960813,0.10373359835165892
20155,499.07,30.014602394860034,0.06014106717466495
20156,481.4,62.1468539880476,0.12909608223524638
20157,513.89,97.55849062626304,0.18984313885513054
20158,622.21,107.75916799345669,0.17318777903514357
20159,603.47,55.522843108445315,0.09200597065048025
20160,525.54,45.1160544775944,0.08584704204740726
20250,519.72,26.90269654437134,0.05176382772333437
20251,383.57,35.46278230034801,0.09245452538089009
20350,797.62,49.2187779545674,0.06170705091969535
20351,566.16,70.59354067280339,0.12468832251095695
20353,525.45,45.72458723167983,0.08701986341551018
20354,493.89,87.01379153510385,0.1761805088888292
20355,437.68,46.20350209319735,0.10556457250319264
20450,501.41,23.36822774330293,0.04660502930396867
20550,794.91,41.391836802727966,0.05207109836676852
20551,440.66,52.90033331241942,0.12004795831802165
20552,305.0,44.43018371116618,0.14567273347923337
20553,366.23,70.33158560037573,0.19204211998027396
20554,618.96,50.26566975423701,0.0812098839250307
20555,631.64,74.64679729154278,0.11817933837556643
20556,376.48,68.77366081323758,0.1826754696484211
20650,563.41,38.20313122731721,0.06780698111023448
20750,535.08,49.04194822122059,0.09165348774243214
30150,833.18,28.619945170879223,0.03435025465191102
30151,547.84,73.70065264407778,0.13452952074342467
30153,558.23,40.46432530963988,0.07248683393877055
30154,679.28,59.70824114052783,0.08789930682565045
30155,483.01,70.8130580222811,0.1466078508152649
30156,332.01,47.48441697254743,0.14302104446416503
30157,622.12,70.88153137458261,0.11393546482122839
30158,414.01,51.40830690922464,0.12417165505476835
30160,480.03,39.10028328401618,0.0814538326438268
30250,578.65,37.78463019953661,0.06529790062997773
30251,442.05,81.87897217671,0.18522559026515098
30252,597.9,111.79362982561828,0.1869771363532669
30253,447.31,78.81455402973323,0.17619671822613675
30254,465.5,47.97152885497052,0.10305376767985075
30350,896.99,33.956333276190456,0.03785586603662299
30351,464.39,51.18875202591319,0.1102279377805577
30352,473.5,89.43199209516504,0.1888743233266421
30353,392.61,77.46738185769146,0.19731382760931065
30354,422.59,50.73704338638911,0.1200621012953196
30355,585.97,29.55457631432885,0.05043701267015179
30356,559.98,36.99956939598334,0.06607301938637691
30357,380.53,59.503060125746195,0.15636890685555987
30358,398.45,70.34179049529791,0.1765385631705306
30361,454.49,85.47426463656362,0.18806632629224762
30362,417.79,72.94109548735233,0.17458794008318132
30363,386.33,40.54368782693999,0.1049457402400538
30450,598.98,21.945409174608056,0.03663796650073133
30451,480.59,39.86445679444289,0.08294899351722443
30452,494.6,38.68142325216904,0.07820748736791153
30550,663.71,48.77725150840911,0.07349181345528787
30650,438.49,37.78139578736287,0.08616250265083096
30651,561.76,98.89986643336626,0.1760535930528451
30750,540.22,57.150821407700995,0.1057917541144367
40150,700.61,17.849856871013873,0.025477593627002002
40151,379.84,68.8690043648678,0.18131056330262166
40153,476.84,28.87400426383046,0.06055281491450059
40154,373.66,72.57804198498908,0.19423551352831206
40155,448.26,79.86324146008967,0.1781627659396102
40156,447.61,82.3295953748527,0.18393153721957217
40157,502.17,63.61803100018985,0.12668624370270995
40158,445.1,45.86744171148448,0.1030497454762626
40159,305.03,46.83569104739806,0.15354454003671134
40161,506.7,61.88928621714361,0.12214187135808882
40250,484.1,41.73921790530013,0.08622023942429277
40251,409.85,64.82401925053775,0.15816522935351407
40252,345.75,38.08247494752519,0.11014454070144669
40253,372.77,71.37363696611789,0.1914682967141076
40254,323.01,38.05983511719813,0.11782865891829397
40255,482.47,48.34174362040303,0.10019637204469299
40350,552.39,51.02626756665572,0.09237362654402817
40351,437.41,94.10950340595139,0.21515169613395072
40352,482.91,47.86414823201662,0.09911608422276742
40353,455.88,76.79270748927068,0.16844938907008572
40450,665.61,38.07067399988902,0.05719666771816682
40451,368.33,28.33335356794772,0.07692382800192143
40452,299.43,45.38883429866898,0.15158412416480974
40453,440.2,60.1913193280408,0.13673630015456792
40550,585.43,22.795556853085664,0.03893814265255567
40551,511.16,58.443049814508285,0.11433416115210165
40552,526.1,64.8000320145149,0.12317056075748888
40553,374.8,31.631119114531373,0.0843946614581947
40554,411.51,32.93975410133071,0.08004605988027196
40555,439.34,39.2193217657154,0.08926872528273183
40650,544.43,42.087297004283236,0.07730524953489565
40651,514.15,38.23131318265937,0.07435828684753354
50150,710.7,15.94540455534017,0.022436196081806907
50151,573.06,56.41573450176321,0.09844647070422506
50152,568.53,88.82576943527471,0.15623761179757395
50153,660.48,69.91398518598984,0.10585329636929179
50154,618.07,63.15150794262251,0.10217533279826314
50156,483.05,28.522508187570516,0.05904669948777666
50157,575.71,49.81672637771289,0.08653093810722913
50158,363.44,36.37788090744832,0.10009322283581422
50159,570.89,30.50350684044674,0.05343149615590874
50161,628.43,65.82416355971733,0.10474382756984443
